,name,conference,attendance,score,home,precipitation,snowfall,snow depth,max temp,min temp,avg wind speed,winner
1041,Maryland Terrapins,Big Ten,0,19,1,0,0,0,87.98,68.0,,Lose
1042,Vanderbilt Commodores,SEC,0,31,1,0,0,0,,,,Win
1043,Texas A&M Aggies,SEC,0,66,1,0,0,0,,,,Win
1044,Temple Owls,American,0,17,1,0,0,0,91.94,75.02,,Lose
1045,Duke Blue Devils,ACC,10126,40,1,0,0,0,91.03999999999999,64.94,,Win
1046,New Mexico State Aggies,FBS Independents,0,13,1,0,0,0,93.92,64.03999999999999,,Lose
1047,Army Black Knights,FBS Independents,25007,21,1,0,0,0,82.94,53.06,,Lose
1048,Oregon Ducks,Pac-12,0,13,1,0,0,0,71.06,35.06,24,Lose
1049,Virginia Tech Hokies,ACC,0,51,1,0,0,0,84.92,57.019999999999996,,Win
1050,Kentucky Wildcats,SEC,0,28,1,0,0,0,87.98,68.0,23,Lose
1051,Mississippi State Bulldogs,SEC,0,10,1,0,0,0,89.96000000000001,71.06,,Lose
1052,Ohio State Buckeyes,Big Ten,0,31,1,0,0,0,73.94,59.0,,Win
1053,South Florida Bulls,American,0,45,1,0,0,0,87.08000000000001,75.92,,Win
1054,Wisconsin Badgers,Big Ten,0,23,1,0,0,0,68.0,50.0,21,Win
1055,Illinois Fighting Illini,Big Ten,0,14,1,0,0,0,87.08000000000001,60.08,,Lose
1056,Oregon State Beavers,Pac-12,0,24,1,0,0,0,71.06,35.06,,Lose
1057,Texas Tech Red Raiders,Big 12,44681,63,1,0,0,0,89.96000000000001,59.0,29,Win
1058,Alabama Crimson Tide,SEC,0,24,1,0,0,0,91.03999999999999,75.92,43,Win
1059,Virginia Cavaliers,ACC,0,38,1,0,0,0,,,,Win
1060,Northwestern Wildcats,Big Ten,0,29,1,0,0,0,,,,Lose
1061,NC State Wolfpack,ACC,0,24,1,0,0,0,82.94,66.92,,Lose
1062,West Virginia Mountaineers,Big 12,0,20,1,0,0,0,86.0,62.96,,Win
1063,Clemson Tigers,ACC,0,13,1,0,0,0,89.96000000000001,62.96,,Lose
1064,Temple Owls,American,0,16,1,0,0,0,78.98,64.03999999999999,,Lose
1065,Central Michigan Chippewas,Mid-American,0,20,1,0,0,0,68.0,46.94,,Lose
1066,Liberty Flames,FBS Independents,11741,0,0,0,0,0,84.92,69.98,,Lose
1067,SMU Mustangs,American,0,10,1,0,0,0,,,,Lose
1068,Pittsburgh Panthers,ACC,43135,41,1,0,0,0,,,,Win
1069,Ohio Bobcats,Mid-American,0,35,1,0,0,0,80.96000000000001,62.06,,Win
1070,Rutgers Scarlet Knights,Big Ten,0,37,1,0,0,0,,,,Win
1071,Arizona State Sun Devils,Pac-12,0,28,1,0,0,0,96.98,68.0,,Lose
1072,Missouri Tigers,SEC,0,20,1,0,0,0,78.08000000000001,53.06,38,Lose
1073,West Virginia Mountaineers,Big 12,0,17,1,0,0,0,73.03999999999999,41.0,,Lose
1074,Mississippi State Bulldogs,SEC,0,7,1,0,0,0,80.96000000000001,51.980000000000004,,Lose
1075,Alabama Crimson Tide,SEC,0,31,1,0,0,0,87.08000000000001,66.92,25,Win
1076,Florida State Seminoles,ACC,0,38,1,0,0,0,89.06,73.94,44,Win
1077,Tennessee Volunteers,SEC,0,27,1,0,0,0,82.94,59.0,13,Win
1078,Michigan State Spartans,Big Ten,0,31,1,0,0,0,69.98,46.04,,Lose
1079,California Golden Bears,Pac-12,0,28,1,0,0,0,86.0,55.94,,Win
1080,Purdue Boilermakers,Big Ten,0,28,1,0,0,0,78.98,46.94,15,Lose
1081,Texas Tech Red Raiders,Big 12,0,30,1,0,0,0,93.92,57.019999999999996,45,Win
1082,Wisconsin Badgers,Big Ten,0,41,1,0,0,0,80.96000000000001,53.06,34,Win
1083,Penn State Nittany Lions,Big Ten,106604,44,1,0,0,0,64.94,41.0,,Win
1084,Maryland Terrapins,Big Ten,0,45,1,0,0,0,71.06,42.980000000000004,,Win
1085,UCLA Bruins,Pac-12,0,21,1,0,0,0,84.02,57.92,,Win
1086,Boston College Eagles,ACC,0,38,1,0,0,0,,,,Win
1087,Nebraska Cornhuskers,Big Ten,0,27,1,0,0,0,,,,Win
1088,Louisville Cardinals,ACC,0,61,1,0,0,0,80.96000000000001,51.08,13,Win
1089,Army Black Knights,FBS Independents,0,13,1,0,0,0,64.94,46.04,,Lose
1090,Liberty Flames,FBS Independents,11263,7,1,0,0,0,80.96000000000001,51.08,9,Lose
1091,Iowa Hawkeyes,Big Ten,0,35,1,0,0,0,87.08000000000001,51.980000000000004,,Win
1092,Texas A&M Aggies,SEC,0,16,1,0,0,0,,,,Win
1093,Duke Blue Devils,ACC,0,21,1,0,0,0,80.96000000000001,57.92,,Lose
1094,North Carolina Tar Heels,ACC,0,31,1,0,0,0,71.96000000000001,57.92,,Win
1095,Syracuse Orange,ACC,0,7,0,0,0,0,,,,Lose
1096,USC Trojans,Pac-12,0,42,1,0,0,0,71.06,59.0,12,Win
1097,Virginia Tech Hokies,ACC,0,41,1,0,0,0,69.08000000000001,59.0,,Win
1098,Florida State Seminoles,ACC,0,41,1,0,0,0,87.08000000000001,69.08000000000001,32,Win
1099,Tennessee Volunteers,SEC,0,14,1,0,0,0,64.94,55.94,41,Lose
1100,Penn State Nittany Lions,Big Ten,0,17,1,0,0,0,69.08000000000001,53.06,,Win
1101,UCLA Bruins,Pac-12,0,47,1,0,0,0,84.92,57.92,,Win
1102,Vanderbilt Commodores,SEC,0,6,1,0,0,0,,,,Lose
1103,Florida Gators,SEC,0,35,1,0,0,0,87.08000000000001,71.96000000000001,10,Win
1104,Northwestern Wildcats,Big Ten,0,51,1,0,0,0,,,,Win
1105,Nebraska Cornhuskers,Big Ten,0,31,1,0,0,0,,,,Lose
1106,Arizona State Sun Devils,Pac-12,0,17,1,0,0,0,84.92,66.02,,Lose
1107,Boston College Eagles,ACC,0,28,1,0,0,0,,,,Win
1108,Michigan Wolverines,Big Ten,0,20,1,0,0,0,57.019999999999996,44.06,,Lose
1109,Louisville Cardinals,ACC,0,69,1,0,0,0,64.94,50.0,46,Win
1110,Indiana Hoosiers,Big Ten,0,36,1,0,0,0,60.08,42.980000000000004,30,Win
1111,Rutgers Scarlet Knights,Big Ten,0,14,1,0,0,0,,,,Lose
1112,Georgia Southern Eagles,Sun Belt,14156,45,1,0,0,0,,,,Win
1113,Kansas State Wildcats,Big 12,0,12,1,0,0,0,63.31999999999999,32.54,,Win
1114,Army Black Knights,FBS Independents,0,10,1,0,0,0,73.94,69.08000000000001,,Lose
1115,Temple Owls,American,0,7,1,0,0,0,75.92,53.96,,Lose
1116,South Carolina Gamecocks,SEC,0,44,1,0,0,0,86.0,71.06,,Win
1117,Navy Midshipmen,American,0,27,1,0,0,0,,,,Win
1118,Tulane Green Wave,American,0,21,1,0,0,0,82.94,53.96,,Lose
1119,Texas Longhorns,Big 12,0,42,1,0,0,0,,,,Win
1120,Virginia Cavaliers,ACC,0,26,1,0,0,0,75.92,51.08,,Win
1121,Vanderbilt Commodores,SEC,0,17,1,0,0,0,,,,Lose
1122,Ole Miss Rebels,SEC,0,10,1,0,0,0,80.96000000000001,48.019999999999996,,Lose
1123,Temple Owls,American,0,3,1,0,0,0,78.08000000000001,60.980000000000004,,Lose
1124,Michigan Wolverines,Big Ten,111249,27,1,0,0,0,68.0,48.92,,Win
1125,LSU Tigers,SEC,0,21,1,0,0,0,84.02,55.040000000000006,13,Win
1126,Washington State Cougars,Pac-12,0,41,1,0,0,0,64.03999999999999,39.019999999999996,29,Lose
1127,Texas Tech Red Raiders,Big 12,0,59,1,0,0,0,71.96000000000001,53.96,26,Win
1128,Boston College Eagles,ACC,0,35,1,0,0,0,,,,Win
1129,Ohio State Buckeyes,Big Ten,0,35,1,0,0,0,73.03999999999999,46.94,,Win
1130,California Golden Bears,Pac-12,0,20,1,0,0,0,64.03999999999999,50.0,,Lose
1131,West Virginia Mountaineers,Big 12,0,46,1,0,0,0,66.92,51.08,,Win
1132,Oregon Ducks,Pac-12,0,45,1,0,0,0,57.92,51.08,58,Win
1133,Arkansas Razorbacks,SEC,0,17,1,0,0,0,82.94,44.96,8,Lose
1134,TCU Horned Frogs,Big 12,0,38,1,0,0,0,84.92,55.94,,Win
1135,Syracuse Orange,ACC,0,9,1,0,0,0,62.96,48.019999999999996,48,Lose
1136,Air Force Falcons,Mountain West,0,42,1,0,0,0,73.94,42.08,,Win
1137,Iowa Hawkeyes,Big Ten,0,38,1,0,0,0,73.94,37.94,,Win
1138,Central Michigan Chippewas,Mid-American,0,37,1,0,0,0,71.96000000000001,42.08,,Win
1139,Purdue Boilermakers,Big Ten,0,29,1,0,0,0,69.08000000000001,44.06,40,Lose
1140,Buffalo Bulls,Mid-American,0,7,1,0,0,0,64.03999999999999,50.0,56,Lose
1141,UAB Blazers,Conference USA,0,28,1,0,0,0,62.96,44.96,24,Lose
1142,Texas Longhorns,Big 12,0,52,1,0,0,0,,,,Win
1143,Georgia Bulldogs,SEC,92746,23,1,0,0,0,71.96000000000001,48.92,35,Win
1144,Alabama Crimson Tide,SEC,0,6,1,0,0,0,66.02,44.96,21,Win
1145,LSU Tigers,SEC,0,20,1,0,0,0,77.0,53.96,16,Win
1146,UCLA Bruins,Pac-12,0,51,1,0,0,0,69.98,59.0,,Win
1147,Duke Blue Devils,ACC,0,24,1,0,0,0,64.03999999999999,57.019999999999996,,Lose
1148,Illinois Fighting Illini,Big Ten,0,10,1,0,0,0,60.08,41.0,,Lose
1149,Indiana Hoosiers,Big Ten,0,10,1,0,0,0,60.980000000000004,46.04,15,Lose
1150,Arizona Wildcats,Pac-12,0,21,1,0,0,0,87.08000000000001,55.040000000000006,26,Lose
1151,Wisconsin Badgers,Big Ten,0,31,1,0,0,0,48.92,30.02,20,Win
1152,Air Force Falcons,Mountain West,0,10,1,0,0,0,69.98,41.0,,Lose
1153,Michigan State Spartans,Big Ten,0,14,1,0,0,0,57.019999999999996,37.04,,Lose
1154,North Carolina Tar Heels,ACC,0,7,1,0,0,0,71.96000000000001,57.92,,Win
