,name,conference,attendance,score,home,precipitation,snowfall,snow depth,max temp,min temp,avg wind speed,winner
1559,Florida State Seminoles,ACC,73917,45,1,0,0,0,,,,Win
1560,Boise State Broncos,Mountain West,32989,42,1,0,0,0,,,,Win
1561,Washington State Cougars,Pac-12,33773,17,1,0,0,0,,,,Lose
1562,Washington Huskies,Pac-12,47118,41,1,0,0,0,,,,Win
1563,Army Black Knights,FBS Independents,71600,21,1,0,0,0,,,,Win
1564,San Jose State Spartans,Mountain West,13377,22,1,0,0,0,,,,Lose
1565,Rutgers Scarlet Knights,Big Ten,46093,14,1,0,0,0,,,,Lose
1566,South Alabama Jaguars,Sun Belt,26487,7,1,0,0,0,,,,Lose
1567,USC Trojans,Pac-12,48031,31,1,0,0,0,,,,Win
1568,UMass Minutemen,FBS Independents,8684,63,1,0,0,0,,,,Win
1569,Wisconsin Badgers,Big Ten,74145,34,1,0,0,0,,,,Win
1570,SMU Mustangs,American,24216,12,1,0,0,0,,,,Lose
1571,Memphis Tigers,American,27678,59,1,0,0,0,,,,Win
1572,Washington Huskies,Pac-12,35134,10,1,0,0,0,,,,Win
